,LOCATION,INDICATOR,TIME,Value
212,BEL,TRADEGOOD,2007-Q2,2.132646
213,BEL,TRADEGOOD,2007-Q3,6.376406
214,BEL,TRADEGOOD,2007-Q4,4.962387
215,BEL,TRADEGOOD,2008-Q1,5.950203
216,BEL,TRADEGOOD,2008-Q2,4.810179
217,BEL,TRADEGOOD,2008-Q3,-3.086582
218,BEL,TRADEGOOD,2008-Q4,-23.27405
219,BEL,TRADEGOOD,2009-Q1,-11.99965
220,BEL,TRADEGOOD,2009-Q2,4.945866
221,BEL,TRADEGOOD,2009-Q3,8.491535
222,BEL,TRADEGOOD,2009-Q4,7.386545
223,BEL,TRADEGOOD,2010-Q1,-1.876791
224,BEL,TRADEGOOD,2010-Q2,-4.12451
225,BEL,TRADEGOOD,2010-Q3,4.471246
226,BEL,TRADEGOOD,2010-Q4,6.822185
227,BEL,TRADEGOOD,2011-Q1,7.807158
228,BEL,TRADEGOOD,2011-Q2,5.808602
229,BEL,TRADEGOOD,2011-Q3,-1.932611
230,BEL,TRADEGOOD,2011-Q4,-4.830469
231,BEL,TRADEGOOD,2012-Q1,-0.1955444
232,BEL,TRADEGOOD,2012-Q2,-2.230525
233,BEL,TRADEGOOD,2012-Q3,-3.832529
234,BEL,TRADEGOOD,2012-Q4,3.421766
235,BEL,TRADEGOOD,2013-Q1,3.202923
236,BEL,TRADEGOOD,2013-Q2,-0.3775359
237,BEL,TRADEGOOD,2013-Q3,2.748307
238,BEL,TRADEGOOD,2013-Q4,3.36754
239,BEL,TRADEGOOD,2014-Q1,-0.650876
240,BEL,TRADEGOOD,2014-Q2,0.6964183
241,BEL,TRADEGOOD,2014-Q3,-2.216783
242,BEL,TRADEGOOD,2014-Q4,-6.948809
243,BEL,TRADEGOOD,2015-Q1,-10.9485
244,BEL,TRADEGOOD,2015-Q2,2.645051
245,BEL,TRADEGOOD,2015-Q3,-2.243984
246,BEL,TRADEGOOD,2015-Q4,-1.312953
247,BEL,TRADEGOOD,2016-Q1,1.120054
248,BEL,TRADEGOOD,2016-Q2,0.7781116
249,BEL,TRADEGOOD,2016-Q3,1.117206
250,BEL,TRADEGOOD,2016-Q4,-1.46382
251,BEL,TRADEGOOD,2017-Q1,0.5872622
252,BEL,TRADEGOOD,2017-Q2,5.211261
253,BEL,TRADEGOOD,2017-Q3,6.219236
254,BEL,TRADEGOOD,2017-Q4,2.463436
255,BEL,TRADEGOOD,2018-Q1,5.944562
256,BEL,TRADEGOOD,2018-Q2,-3.383245
257,BEL,TRADEGOOD,2018-Q3,0.1553949
258,BEL,TRADEGOOD,2018-Q4,-3.748688
259,BEL,TRADEGOOD,2019-Q1,0.5482838
260,BEL,TRADEGOOD,2019-Q2,-0.4244163
261,BEL,TRADEGOOD,2019-Q3,-1.855894
262,BEL,TRADEGOOD,2019-Q4,-0.313958
263,BEL,TRADEGOOD,2020-Q1,-0.517205
264,CAN,TRADEGOOD,1998-Q2,0.5040792
265,CAN,TRADEGOOD,1998-Q3,-2.364836
266,CAN,TRADEGOOD,1998-Q4,3.633638
267,CAN,TRADEGOOD,1999-Q1,3.650497
268,CAN,TRADEGOOD,1999-Q2,2.983079
269,CAN,TRADEGOOD,1999-Q3,4.717402
270,CAN,TRADEGOOD,1999-Q4,4.488525
271,CAN,TRADEGOOD,2000-Q1,6.566343
272,CAN,TRADEGOOD,2000-Q2,2.237855
273,CAN,TRADEGOOD,2000-Q3,1.055375
274,CAN,TRADEGOOD,2000-Q4,0.9956725
275,CAN,TRADEGOOD,2001-Q1,0.08124857
276,CAN,TRADEGOOD,2001-Q2,-4.515114
277,CAN,TRADEGOOD,2001-Q3,-7.700437
278,CAN,TRADEGOOD,2001-Q4,-3.621721
279,CAN,TRADEGOOD,2002-Q1,0.7892517
280,CAN,TRADEGOOD,2002-Q2,4.318661
281,CAN,TRADEGOOD,2002-Q3,1.450792
282,CAN,TRADEGOOD,2002-Q4,0.1898792
283,CAN,TRADEGOOD,2003-Q1,3.871085
284,CAN,TRADEGOOD,2003-Q2,-0.3429867
285,CAN,TRADEGOOD,2003-Q3,2.046567
286,CAN,TRADEGOOD,2003-Q4,4.740969
287,CAN,TRADEGOOD,2004-Q1,3.816303
